Date,Rate,Category
4/1/2010 13:15,50,BEVERAGE
4/1/2010 13:15,100,BEVERAGE
4/1/2010 13:17,40,BEVERAGE
4/1/2010 13:19,50,BEVERAGE
4/1/2010 1:20,45,BEVERAGE
4/1/2010 1:20,50,BEVERAGE
4/1/2010 13:21,40,BEVERAGE
4/1/2010 13:21,45,BEVERAGE
4/1/2010 1:29,60,BEVERAGE
4/1/2010 1:29,45,BEVERAGE
4/1/2010 1:29,95,BEVERAGE
4/1/2010 1:29,115,BEVERAGE
4/1/2010 13:36,85,BEVERAGE
4/1/2010 13:42,85,BEVERAGE
4/1/2010 13:42,85,BEVERAGE
4/1/2010 14:02,60,BEVERAGE
4/1/2010 14:02,50,BEVERAGE
4/1/2010 14:21,60,BEVERAGE
4/1/2010 14:53,50,BEVERAGE
4/1/2010 14:54,85,BEVERAGE
4/1/2010 15:08,70,BEVERAGE
4/1/2010 15:08,60,BEVERAGE
4/1/2010 15:09,85,BEVERAGE
4/1/2010 15:39,85,BEVERAGE
4/1/2010 15:48,125,BEVERAGE
4/1/2010 16:06,95,BEVERAGE
4/1/2010 16:07,60,BEVERAGE
4/1/2010 16:15,70,BEVERAGE
4/1/2010 16:15,85,BEVERAGE
4/1/2010 16:16,60,BEVERAGE
4/1/2010 16:25,85,BEVERAGE
4/1/2010 16:25,85,BEVERAGE
4/1/2010 16:25,125,BEVERAGE
4/1/2010 16:45,60,BEVERAGE
4/1/2010 16:46,60,BEVERAGE
4/1/2010 16:50,70,BEVERAGE
4/1/2010 16:51,70,BEVERAGE
4/1/2010 16:58,50,BEVERAGE
4/1/2010 16:58,70,BEVERAGE
4/1/2010 16:59,85,BEVERAGE
4/1/2010 16:59,95,BEVERAGE
4/1/2010 17:10,40,BEVERAGE
4/1/2010 17:10,75,BEVERAGE
4/1/2010 17:16,40,BEVERAGE
4/1/2010 17:22,85,BEVERAGE
4/1/2010 17:33,60,BEVERAGE
4/1/2010 17:43,85,BEVERAGE
4/1/2010 18:04,45,BEVERAGE
4/1/2010 18:05,145,BEVERAGE
4/1/2010 18:09,45,BEVERAGE
4/1/2010 18:12,95,BEVERAGE
4/1/2010 18:35,50,BEVERAGE
4/1/2010 18:35,95,BEVERAGE
4/1/2010 18:57,50,BEVERAGE
4/1/2010 18:58,45,BEVERAGE
4/1/2010 18:58,55,BEVERAGE
4/1/2010 19:00,110,BEVERAGE
4/1/2010 19:03,125,BEVERAGE
4/1/2010 19:29,40,BEVERAGE
4/1/2010 19:29,50,BEVERAGE
4/1/2010 19:29,60,BEVERAGE
4/1/2010 19:33,40,BEVERAGE
4/1/2010 19:33,50,BEVERAGE
4/1/2010 19:34,50,BEVERAGE
4/1/2010 19:34,60,BEVERAGE
4/1/2010 19:40,85,BEVERAGE
4/1/2010 19:45,95,BEVERAGE
4/1/2010 19:53,45,BEVERAGE
4/1/2010 20:06,40,BEVERAGE
4/1/2010 20:06,60,BEVERAGE
4/1/2010 20:09,95,BEVERAGE
4/1/2010 20:12,40,BEVERAGE
4/1/2010 20:16,85,BEVERAGE
4/1/2010 20:21,125,BEVERAGE
4/1/2010 20:32,125,BEVERAGE
4/1/2010 20:37,85,BEVERAGE
4/1/2010 20:40,85,BEVERAGE
4/1/2010 20:45,60,BEVERAGE
4/1/2010 20:48,60,BEVERAGE
4/1/2010 20:48,70,BEVERAGE
4/1/2010 20:50,60,BEVERAGE
4/1/2010 21:05,85,BEVERAGE
4/1/2010 21:19,85,BEVERAGE
4/1/2010 21:26,85,BEVERAGE
4/1/2010 21:35,85,BEVERAGE
4/1/2010 21:39,50,BEVERAGE
4/1/2010 21:39,50,BEVERAGE
4/1/2010 21:39,85,BEVERAGE
4/1/2010 22:04,50,BEVERAGE
4/1/2010 22:04,60,BEVERAGE
4/1/2010 22:05,95,BEVERAGE
4/1/2010 22:13,95,BEVERAGE
4/1/2010 22:33,60,BEVERAGE
4/1/2010 22:33,60,BEVERAGE
4/1/2010 22:33,85,BEVERAGE
4/1/2010 22:34,85,BEVERAGE
4/1/2010 22:52,45,BEVERAGE
4/1/2010 23:11,85,BEVERAGE
4/1/2010 23:46,25,BEVERAGE
4/1/2010 23:46,70,BEVERAGE
4/1/2010 23:46,95,BEVERAGE
4/1/2010 23:49,95,BEVERAGE
4/1/2010 11:56,95,BEVERAGE
4/1/2010 0:08,85,BEVERAGE
4/1/2010 12:14,75,BEVERAGE
4/1/2010 12:14,85,BEVERAGE
4/1/2010 12:19,50,BEVERAGE
4/1/2010 0:24,85,BEVERAGE
4/1/2010 0:26,60,BEVERAGE
4/1/2010 0:32,115,BEVERAGE
4/1/2010 0:51,100,BEVERAGE
4/1/2010 0:51,115,BEVERAGE
4/1/2010 0:55,75,BEVERAGE
4/1/2010 0:55,185,BEVERAGE
4/1/2010 12:55,50,BEVERAGE
4/1/2010 12:55,60,BEVERAGE
4/1/2010 0:57,60,BEVERAGE
4/1/2010 13:15,130,FOOD
4/1/2010 1:29,65,FOOD
4/1/2010 1:29,160,FOOD
4/1/2010 1:29,180,FOOD
4/1/2010 13:36,115,FOOD
4/1/2010 13:37,160,FOOD
4/1/2010 13:42,105,FOOD
4/1/2010 13:42,135,FOOD
4/1/2010 13:55,115,FOOD
4/1/2010 13:55,105,FOOD
4/1/2010 13:58,160,FOOD
4/1/2010 14:00,155,FOOD
4/1/2010 14:02,110,FOOD
4/1/2010 14:07,105,FOOD
4/1/2010 14:07,135,FOOD
4/1/2010 14:07,160,FOOD
4/1/2010 14:21,110,FOOD
4/1/2010 14:21,140,FOOD
4/1/2010 14:30,135,FOOD
4/1/2010 14:40,115,FOOD
4/1/2010 14:40,135,FOOD
4/1/2010 14:40,135,FOOD
4/1/2010 14:47,105,FOOD
4/1/2010 14:54,35,FOOD
4/1/2010 14:54,105,FOOD
4/1/2010 15:09,160,FOOD
4/1/2010 15:26,135,FOOD
4/1/2010 15:26,160,FOOD
4/1/2010 16:05,65,FOOD
4/1/2010 16:05,160,FOOD
4/1/2010 16:06,140,FOOD
4/1/2010 16:07,160,FOOD
4/1/2010 16:09,135,FOOD
4/1/2010 16:09,135,FOOD
4/1/2010 16:11,160,FOOD
4/1/2010 16:12,125,FOOD
4/1/2010 16:12,160,FOOD
4/1/2010 16:15,115,FOOD
4/1/2010 16:15,110,FOOD
4/1/2010 16:15,110,FOOD
4/1/2010 16:16,110,FOOD
4/1/2010 16:25,125,FOOD
4/1/2010 16:27,110,FOOD
4/1/2010 16:27,125,FOOD
4/1/2010 16:27,145,FOOD
4/1/2010 16:27,150,FOOD
4/1/2010 16:58,105,FOOD
4/1/2010 16:59,135,FOOD
4/1/2010 17:00,110,FOOD
4/1/2010 17:02,135,FOOD
4/1/2010 17:02,160,FOOD
4/1/2010 17:02,260,FOOD
4/1/2010 17:22,125,FOOD
4/1/2010 17:31,65,FOOD
4/1/2010 17:31,135,FOOD
4/1/2010 17:43,125,FOOD
4/1/2010 17:43,145,FOOD
4/1/2010 17:45,125,FOOD
4/1/2010 17:45,160,FOOD
4/1/2010 17:45,145,FOOD
4/1/2010 17:45,160,FOOD
4/1/2010 17:46,135,FOOD
4/1/2010 17:46,135,FOOD
4/1/2010 17:46,135,FOOD
4/1/2010 17:46,160,FOOD
4/1/2010 18:04,105,FOOD
4/1/2010 18:05,110,FOOD
4/1/2010 18:29,105,FOOD
4/1/2010 18:48,135,FOOD
4/1/2010 18:58,65,FOOD
4/1/2010 19:00,55,FOOD
4/1/2010 19:03,125,FOOD
4/1/2010 19:03,135,FOOD
4/1/2010 19:04,110,FOOD
4/1/2010 19:08,115,FOOD
4/1/2010 19:08,160,FOOD
4/1/2010 19:08,160,FOOD
4/1/2010 19:26,160,FOOD
4/1/2010 19:31,105,FOOD
4/1/2010 19:37,105,FOOD
4/1/2010 19:42,105,FOOD
4/1/2010 19:42,105,FOOD
4/1/2010 19:42,105,FOOD
4/1/2010 20:07,65,FOOD
4/1/2010 20:09,110,FOOD
4/1/2010 20:11,110,FOOD
4/1/2010 20:16,65,FOOD
4/1/2010 20:21,115,FOOD
4/1/2010 20:21,160,FOOD
4/1/2010 20:32,105,FOOD
4/1/2010 20:32,125,FOOD
4/1/2010 20:33,95,FOOD
4/1/2010 20:37,180,FOOD
4/1/2010 20:38,105,FOOD
4/1/2010 20:50,135,FOOD
4/1/2010 21:05,140,FOOD
4/1/2010 21:09,125,FOOD
4/1/2010 21:19,105,FOOD
4/1/2010 21:19,105,FOOD
4/1/2010 21:29,135,FOOD
4/1/2010 21:29,145,FOOD
4/1/2010 21:35,165,FOOD
4/1/2010 21:39,105,FOOD
4/1/2010 21:39,110,FOOD
4/1/2010 21:45,110,FOOD
4/1/2010 21:45,115,FOOD
4/1/2010 22:16,145,FOOD
4/1/2010 22:16,150,FOOD
4/1/2010 22:34,110,FOOD
4/1/2010 22:49,160,FOOD
4/1/2010 22:53,160,FOOD
4/1/2010 23:11,65,FOOD
4/1/2010 23:11,115,FOOD
4/1/2010 23:11,140,FOOD
4/1/2010 23:11,105,FOOD
4/1/2010 23:15,110,FOOD
4/1/2010 23:21,145,FOOD
4/1/2010 23:25,105,FOOD
4/1/2010 23:25,110,FOOD
4/1/2010 23:28,105,FOOD
4/1/2010 23:28,135,FOOD
4/1/2010 23:28,160,FOOD
4/1/2010 23:28,160,FOOD
4/1/2010 23:28,115,FOOD
4/1/2010 23:41,135,FOOD
4/1/2010 23:41,180,FOOD
4/1/2010 0:08,105,FOOD
4/1/2010 0:08,105,FOOD
4/1/2010 0:08,135,FOOD
4/1/2010 0:08,110,FOOD
4/1/2010 0:08,260,FOOD
4/1/2010 0:24,105,FOOD
4/1/2010 0:24,105,FOOD
4/1/2010 0:24,125,FOOD
4/1/2010 0:24,65,FOOD
4/1/2010 0:32,110,FOOD
4/1/2010 0:32,180,FOOD
4/1/2010 0:47,160,FOOD
4/1/2010 0:49,135,FOOD
4/1/2010 0:51,135,FOOD
4/1/2010 12:55,130,FOOD
4/1/2010 13:37,120,LIQUOR
4/1/2010 13:55,120,LIQUOR
4/1/2010 15:30,100,LIQUOR
4/1/2010 16:16,100,LIQUOR
4/1/2010 18:57,120,LIQUOR
4/1/2010 19:27,100,LIQUOR
4/1/2010 21:39,100,LIQUOR
4/1/2010 22:13,120,LIQUOR
4/1/2010 23:21,120,LIQUOR
4/1/2010 0:31,100,LIQUOR
4/1/2010 0:47,100,LIQUOR
4/1/2010 0:55,120,LIQUOR
4/1/2010 22:38,210,MERCHANDISE
4/1/2010 23:10,67,MERCHANDISE
4/1/2010 13:17,225,TOBACCO
4/1/2010 1:20,245,TOBACCO
4/1/2010 13:29,375,TOBACCO
4/1/2010 1:29,245,TOBACCO
4/1/2010 1:29,295,TOBACCO
4/1/2010 13:55,350,TOBACCO
4/1/2010 13:56,245,TOBACCO
4/1/2010 14:05,375,TOBACCO
4/1/2010 14:07,245,TOBACCO
4/1/2010 14:07,350,TOBACCO
4/1/2010 14:18,375,TOBACCO
4/1/2010 14:29,245,TOBACCO
4/1/2010 14:49,225,TOBACCO
4/1/2010 14:49,225,TOBACCO
4/1/2010 14:53,245,TOBACCO
4/1/2010 15:26,225,TOBACCO
4/1/2010 15:30,350,TOBACCO
4/1/2010 15:30,350,TOBACCO
4/1/2010 16:12,375,TOBACCO
4/1/2010 16:15,375,TOBACCO
4/1/2010 16:45,245,TOBACCO
4/1/2010 16:54,225,TOBACCO
4/1/2010 16:56,245,TOBACCO
4/1/2010 16:59,350,TOBACCO
4/1/2010 17:15,225,TOBACCO
4/1/2010 17:31,225,TOBACCO
4/1/2010 17:34,245,TOBACCO
4/1/2010 17:43,225,TOBACCO
